SCAT_ID	Type	Frame	Begin	End	Mutation	Gene	Product	Score	COGs	COGclassID	ClassDescription	COGprocess
SCAT_p0093	CDS	+3	97083	98231	no		Histidine decarboxylase	342	COG0076	E	Amino acid transport and metabolism	METABOLISM
SCAT_p0096	CDS	-2	101696	102712	no	appF	oligopeptide ABC transporter (ATP-binding protein)	319	COG4608	E	Amino acid transport and metabolism	METABOLISM
SCAT_p0097	CDS	-1	102639	104633	no		dipeptide ABC transporter permease and ATP-binding protein	340	COG1173,COG0444	E	Amino acid transport and metabolism	METABOLISM
SCAT_p0097	CDS	-1	102639	104633	no		dipeptide ABC transporter permease and ATP-binding protein	340	COG1173,COG0444	P	Inorganic ion transport and metabolism	METABOLISM
SCAT_p0098	CDS	-2	104630	104965	pseudo	dppB		111	COG0601	E	Amino acid transport and metabolism	METABOLISM
SCAT_p0098	CDS	-2	104630	104965	pseudo	dppB		111	COG0601	P	Inorganic ion transport and metabolism	METABOLISM
SCAT_p0099	CDS	-2	104978	105181	pseudo	dppB		67	COG0601	E	Amino acid transport and metabolism	METABOLISM
SCAT_p0099	CDS	-2	104978	105181	pseudo	dppB		67	COG0601	P	Inorganic ion transport and metabolism	METABOLISM
SCAT_p0100	CDS	-3	105019	106140	no		hypothetical protein	71	COG0747	E	Amino acid transport and metabolism	METABOLISM
SCAT_p0101	CDS	-1	105309	106433	no		hypothetical protein	359	COG0747	E	Amino acid transport and metabolism	METABOLISM
SCAT_p0102	CDS	-1	106449	108467	no		Hydrolase CocE/NonD family protein	478	COG2936	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0103	CDS	-1	108489	109688	no		hypothetical protein	396	COG1804	C	Energy production and conversion	METABOLISM
SCAT_p0104	CDS	-3	109798	110676	no	citE	Citrate lyase beta chain	292	COG2301	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0105	CDS	-1	110673	111470	no		IclR family transcriptional regulator	241	COG1414	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0106	CDS	-1	111621	112826	no		polyketide associated protein	123	COG1020	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0107	CDS	-1	112875	113699	no		citrate lyase	265	COG2301	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0108	CDS	-1	113760	115115	no		drug resistance transporter	451	COG0477	E	Amino acid transport and metabolism	METABOLISM
SCAT_p0108	CDS	-1	113760	115115	no		drug resistance transporter	451	COG0477	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0108	CDS	-1	113760	115115	no		drug resistance transporter	451	COG0477	P	Inorganic ion transport and metabolism	METABOLISM
SCAT_p0108	CDS	-1	113760	115115	no		drug resistance transporter	451	COG0477	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0109	CDS	-1	115491	116147	no		Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain	217	COG2197	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0109	CDS	-1	115491	116147	no		Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain	217	COG2197	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0112	CDS	+3	117981	118586	no		carboxymuconolactone decarboxylase	61	COG0599,COG2128	S	Function unknown	POORLY CHARACTERIZED
SCAT_p0114	CDS	-2	119567	120397	no		transcriptional regulator	189	COG2207	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0116	CDS	-1	121479	121652	no		hypothetical protein	57	COG3237	S	Function unknown	POORLY CHARACTERIZED
SCAT_p0117	CDS	-1	121698	123392	no		DNA-binding protein	290	COG2208	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0117	CDS	-1	121698	123392	no		DNA-binding protein	290	COG2202,COG2208	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0118	CDS	-3	124399	125274	no		S-adenosyl-L-methionine-dependent methyltransferase Franean1_4929	219	COG3315	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0120	CDS	+3	127833	129212	no		Solute-binding lipoprotein	422	COG1653	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0121	CDS	+2	129383	130228	no		carbohydrate ABC transporter membrane protein 1	281	COG1175	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0122	CDS	+1	130225	131136	no		ABC transporter permease	303	COG0395	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0123	CDS	+3	131217	133265	no		hydrolase	431	COG3250	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0123	CDS	+3	131217	133265	no		hydrolase	173	COG0804	E	Amino acid transport and metabolism	METABOLISM
SCAT_p0124	CDS	+3	133386	134402	no		LacI family transcriptional regulator	338	COG1609	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0125	CDS	-3	134413	135972	no		transcriptional regulator	79	COG2771	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0126	CDS	-1	135969	136652	no		transcriptional regulator	164	COG3899	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0127	CDS	+3	136971	137885	no		beta-lactamase	294	COG0491	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0128	CDS	+1	137908	139398	no		carboxylesterase	489	COG2272	I	Lipid transport and metabolism	METABOLISM
SCAT_p0129	CDS	+2	139442	139825	no		hypothetical protein	127	COG0251	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
SCAT_p0130	CDS	+2	140075	140689	no		hypothetical protein	109	COG0346	E	Amino acid transport and metabolism	METABOLISM
SCAT_p0131	CDS	-1	140796	141290	no		hypothetical protein	144	COG1670	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
SCAT_p0136	CDS	+1	144352	145824	no	xlnA	Endo-1,4-beta-xylanase A	314	COG3693	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0137	CDS	-3	145885	146406	no		hypothetical protein	106	COG1670	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
SCAT_p0140	CDS	-3	149623	152610	no	helZ	SNF2/RAD54 family helicase	876	COG0553	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0140	CDS	-3	149623	152610	no	helZ	SNF2/RAD54 family helicase	876	COG0553	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
SCAT_p0141	CDS	-2	152768	153400	no		TetR family transcriptional regulator	188	COG1309	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0142	CDS	+1	153520	154533	no		C6 transcription factor	164	COG2159	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0143	CDS	+3	154734	156416	no		Phenmedipham hydrolase	521	COG2272	I	Lipid transport and metabolism	METABOLISM
SCAT_p0146	CDS	+1	157129	157932	no		antimicrobial peptide ABC transporter ATPase	247	COG1136	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0147	CDS	+3	157932	158933	no		hypothetical protein	309	COG0577	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0148	CDS	+2	158861	160438	no		ABC-type antimicrobial peptide transport system, permease component (fragment)	426	COG0577	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0149	CDS	+3	160488	161786	no		Histidine kinase, dimerisation and phosphoacceptor region	226	COG4585	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0150	CDS	+2	161750	162394	no		Response regulator receiver	214	COG2197	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0150	CDS	+2	161750	162394	no		Response regulator receiver	214	COG2197	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0151	CDS	-2	162446	163681	no		hypothetical protein	257	COG2208	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0151	CDS	-2	162446	163681	no		hypothetical protein	257	COG2202,COG2208	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0152	CDS	-2	163985	164530	no		N-acetyltransferase GCN5	144	COG0456	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0153	CDS	+2	164663	165295	no		TetR family transcriptional regulator	196	COG1309	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0154	CDS	+3	165360	166901	no		polyketide oxygenase/hydroxylase	512	COG0654	C	Energy production and conversion	METABOLISM
SCAT_p0154	CDS	+3	165360	166901	no		polyketide oxygenase/hydroxylase	512	COG0654	H	Coenzyme transport and metabolism	METABOLISM
SCAT_p0155	CDS	+3	167271	168287	no		transcriptional regulator	105	COG2771,COG0745	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0155	CDS	+3	167271	168287	no		transcriptional regulator	105	COG0745	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0157	CDS	+3	169467	170243	no		hypothetical protein	220	COG0500	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0157	CDS	+3	169467	170243	no		hypothetical protein	220	COG0500	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0158	CDS	+2	170783	171307	no		hypothetical protein	76	COG0456	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0161	CDS	+2	172073	173863	no		hypothetical protein	115	COG2850,COG3128	S	Function unknown	POORLY CHARACTERIZED
SCAT_p0162	CDS	+2	173897	175450	no		Radical SAM domain-containing protein	314	COG0535	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0163	CDS	+1	175447	176634	no		hypothetical protein	65	COG2850	S	Function unknown	POORLY CHARACTERIZED
SCAT_p0164	CDS	+3	176631	179237	no		hypothetical protein	384	COG3482,COG1944	S	Function unknown	POORLY CHARACTERIZED
SCAT_p0165	CDS	+2	179258	180004	no		protein MmcH	108	COG5285	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0166	CDS	+3	180303	180740	no		hypothetical protein	135	COG0477	E	Amino acid transport and metabolism	METABOLISM
SCAT_p0166	CDS	+3	180303	180740	no		hypothetical protein	135	COG0477	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0166	CDS	+3	180303	180740	no		hypothetical protein	135	COG0477	P	Inorganic ion transport and metabolism	METABOLISM
SCAT_p0166	CDS	+3	180303	180740	no		hypothetical protein	135	COG0477	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0167	CDS	-2	180638	181282	no		TetR family transcriptional regulator	214	COG1309	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0168	CDS	+3	181434	182396	no		monooxygenase	320	COG0604	C	Energy production and conversion	METABOLISM
SCAT_p0168	CDS	+3	181434	182396	no		monooxygenase	320	COG0604	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0170	CDS	+2	183152	184168	no		LacI family transcriptional regulator	338	COG1609	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0171	CDS	-2	184376	185599	no		aromatic acid transporter	407	COG0477	E	Amino acid transport and metabolism	METABOLISM
SCAT_p0171	CDS	-2	184376	185599	no		aromatic acid transporter	407	COG0477	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0171	CDS	-2	184376	185599	no		aromatic acid transporter	407	COG0477	P	Inorganic ion transport and metabolism	METABOLISM
SCAT_p0171	CDS	-2	184376	185599	no		aromatic acid transporter	407	COG0477	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0172	CDS	-1	185895	186644	no	linC	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	249	COG1028	I	Lipid transport and metabolism	METABOLISM
SCAT_p0172	CDS	-1	185895	186644	no	linC	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	249	COG1028	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0172	CDS	-1	185895	186644	no	linC	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	249	COG1028	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0174	CDS	+3	187029	187865	no		LysR family transcriptional regulator	278	COG0583	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0175	CDS	-3	187945	189156	no		cytochrome P450	397	COG2124	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0176	CDS	-2	189191	189973	no		non-ribosomal peptide biosynthesis thioesterase	241	COG3208	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0177	CDS	-3	190063	190737	no		Methyltransferase	184	COG0500	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0177	CDS	-3	190063	190737	no		Methyltransferase	184	COG0500	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0178	CDS	-1	190776	190955	no		hypothetical protein	50	COG3251	S	Function unknown	POORLY CHARACTERIZED
SCAT_p0179	CDS	-2	190952	195472	no	aps	Peptide-synthetase	1490	COG1020	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0180	CDS	-1	195474	200621	no		hypothetical protein	1704	COG1020	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
SCAT_p0181	CDS	-2	201308	201748	no		Glyoxalase/bleomycin resistance protein/dioxygenase	122	COG2764	S	Function unknown	POORLY CHARACTERIZED
SCAT_p0182	CDS	-1	201783	202652	no		AraC family transcriptional regulator	203	COG2207	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0183	CDS	-2	202718	203182	no		hypothetical protein	95	COG0662	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0184	CDS	+3	203394	203765	no		hypothetical protein	123	COG3795	S	Function unknown	POORLY CHARACTERIZED
SCAT_p0185	CDS	+2	203762	204985	no		RNA polymerase, sigma subunit, ECF family	394	COG4941	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0188	CDS	-3	205804	206952	no		protein-L-isoaspartate(D-aspartate) O-methyltransferase	230	COG2518	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
SCAT_p0191	CDS	-2	209219	210274	no		oxidoreductase	345	COG0667	C	Energy production and conversion	METABOLISM
SCAT_p0192	CDS	-2	210341	211243	no		Zn-dependent oxidoreductase	300	COG0604	C	Energy production and conversion	METABOLISM
SCAT_p0192	CDS	-2	210341	211243	no		Zn-dependent oxidoreductase	300	COG0604	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0193	CDS	+3	211416	212375	no		hypothetical protein	303	COG0583	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0194	CDS	+2	212495	212902	no		Dgpfaetke family protein	93	COG3795	S	Function unknown	POORLY CHARACTERIZED
SCAT_p0195	CDS	+1	212911	214056	no		hypothetical protein	372	COG4941	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0196	CDS	-2	214091	215665	no		hypothetical protein	515	COG0642	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0197	CDS	-3	215662	216402	no	phoP	two-component response regulator	242	COG0745	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0197	CDS	-3	215662	216402	no	phoP	two-component response regulator	242	COG0745	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
SCAT_p0198	CDS	-3	216481	217965	no		hypothetical protein	106	COG0477	E	Amino acid transport and metabolism	METABOLISM
SCAT_p0198	CDS	-3	216481	217965	no		hypothetical protein	106	COG0477	G	Carbohydrate transport and metabolism	METABOLISM
SCAT_p0198	CDS	-3	216481	217965	no		hypothetical protein	106	COG0477	P	Inorganic ion transport and metabolism	METABOLISM
SCAT_p0198	CDS	-3	216481	217965	no		hypothetical protein	106	COG0477	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0199	CDS	-2	218021	220264	no		transmembrane transport protein	720	COG2409	R	General function prediction only	POORLY CHARACTERIZED
SCAT_p0200	CDS	-2	220466	221185	no		CTP synthase	235	COG0504	F	Nucleotide transport and metabolism	METABOLISM
SCAT_p0201	CDS	+3	221262	222149	no		hypothetical protein	295	COG0583	K	Transcription	INFORMATION STORAGE AND PROCESSING
SCAT_p0202	CDS	-2	222173	223165	no	yrpG	oxidoreductase	329	COG0667	C	Energy production and conversion	METABOLISM
SCAT_p0203	CDS	-3	223177	224070	no		FAD-dependent pyridine nucleotide-disulfide oxidoreductase	262	COG0446	R	General function prediction only	POORLY CHARACTERIZED
